Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
ATG SE,American Football,No,Yes,Yes,"ML, Spread, Totals, Totals HT, Spread 1Q, Completions, Interceptions, ML HT, Pass Attempts, Passing Yards, Receptions, Rushing Yards, TD Passes, Team Total Away 1Q, Team Total Away HT, Team Total Home 1Q, Team Total Home HT"
ATG SE,Baseball,No,Yes,No,"Spread, Totals"
ATG SE,Basketball,No,Yes,Yes,"ML, Spread, Totals, Totals HT, Totals 1Q, Team Total Home, Team Total Away, 3 Point FG, Assists, Blocks, ML 1Q, ML 2Q, ML 3Q, ML 4Q, ML HT, Points, Pts+Rebs+Asts, Rebounds, Steals, Steals+Blocks, Totals 2Q, Totals 3Q, Totals 4Q"
ATG SE,Boxing,No,Yes,No,ML
ATG SE,Cricket,No,Yes,Yes,ML
ATG SE,Darts,No,Yes,Yes,ML
ATG SE,Esports,No,Yes,Yes,"ML, Totals"
ATG SE,Football,Yes,Yes,Yes,"ML, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Corners Totals, Corners Totals HT, Bookings Totals, Anytime Goalscorer, Both Teams To Score, Both Teams To Score HT, European Handicap, ML HT, Shots, Team Total Away HT, Team Total Home HT"
ATG SE,Handball,No,Yes,Yes,"Totals, 3-Way Result"
ATG SE,Honor Of Kings,No,Yes,No,Spread
ATG SE,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
ATG SE,Rocket League,No,Yes,No,Spread
ATG SE,Rugby,No,Yes,No,ML
ATG SE,Snooker,No,Yes,Yes,ML
ATG SE,Tennis,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 2nd Set, Spread (Games), Totals (Games), Totals 1st Set (Games)"
ATG SE,Volleyball,No,Yes,Yes,"ML, Totals, First Set Winner, ML 2nd Set"
AdmiralBet DE,American Football,No,Yes,No,"Spread, Totals"
AdmiralBet DE,Baseball,No,Yes,No,"ML, Spread"
AdmiralBet DE,Basketball,No,Yes,Yes,"ML, Spread, Totals, Totals HT, Totals 1Q, Team Total Home, Team Total Away, Totals 2Q, Totals 3Q, Totals 4Q"
AdmiralBet DE,Football,No,Yes,Yes,"ML, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Totals, Both Teams To Score, ML HT"
AdmiralBet DE,Handball,No,Yes,Yes,"ML, Totals"
AdmiralBet DE,Ice Hockey,No,Yes,Yes,ML
AdmiralBet DE,Tennis,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 2nd Set, Spread (Games), Totals (Games), Totals 1st Set (Games)"
AdmiralBet DE,Volleyball,No,Yes,Yes,"ML, First Set Winner, ML 2nd Set"
AdmiralBet IT,American Football,No,Yes,No,"Spread, Totals"
AdmiralBet IT,Baseball,No,Yes,Yes,"ML, Spread"
AdmiralBet IT,Basketball,No,Yes,Yes,"ML, Spread, Totals, Totals HT, Totals 1Q, Team Total Home, Team Total Away, Totals 2Q, Totals 3Q, Totals 4Q"
AdmiralBet IT,Football,No,Yes,Yes,"ML, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Totals, Both Teams To Score, ML HT"
AdmiralBet IT,Handball,No,Yes,Yes,"ML, Totals"
AdmiralBet IT,Ice Hockey,No,Yes,Yes,ML
AdmiralBet IT,Tennis,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 1st Set, ML 2nd Set, Spread (Games), Totals (Games), Totals 1st Set, Totals 1st Set (Games)"
AdmiralBet IT,Volleyball,No,Yes,Yes,"ML, First Set Winner, ML 1st Set, ML 2nd Set"
All British Casino,Basketball,No,Yes,No,ML
All British Casino,Football,No,Yes,Yes,"ML, Spread, Totals"
All British Casino,Handball,No,Yes,No,"ML, Spread, Totals"
All British Casino,Ice Hockey,No,Yes,No,"Spread, Totals"
AlphaWin,American Football,No,Yes,No,"ML, Spread, Totals"
